Year,Month,Day,Hour,Minute,Close
2023,4,10,8,45,28295.20000000
2023,4,10,8,46,28304.77000000
2023,4,10,8,47,28285.77000000
2023,4,10,8,48,28280.82000000
2023,4,10,8,49,28278.84000000
2023,4,10,8,50,28278.95000000
2023,4,10,8,51,28262.84000000
2023,4,10,8,52,28276.91000000
2023,4,10,8,53,28276.91000000
2023,4,10,8,54,28283.98000000
2023,4,10,8,55,28284.06000000
2023,4,10,8,56,28283.98000000
2023,4,10,8,57,28292.02000000
2023,4,10,8,58,28282.18000000
2023,4,10,8,59,28282.16000000
2023,4,10,9,0,28289.15000000
2023,4,10,9,1,28289.16000000
2023,4,10,9,2,28289.15000000
2023,4,10,9,3,28289.16000000
2023,4,10,9,4,28289.16000000
2023,4,10,9,5,28289.15000000
2023,4,10,9,6,28289.15000000
2023,4,10,9,7,28289.15000000
2023,4,10,9,8,28287.49000000
2023,4,10,9,9,28285.20000000
2023,4,10,9,10,28281.52000000
2023,4,10,9,11,28285.91000000
2023,4,10,9,12,28285.90000000
2023,4,10,9,13,28285.91000000
2023,4,10,9,14,28287.61000000
2023,4,10,9,15,28273.48000000
2023,4,10,9,16,28273.01000000
2023,4,10,9,17,28273.01000000
2023,4,10,9,18,28273.00000000
2023,4,10,9,19,28266.01000000
2023,4,10,9,20,28266.00000000
2023,4,10,9,21,28266.01000000
2023,4,10,9,22,28266.01000000
2023,4,10,9,23,28266.00000000
2023,4,10,9,24,28266.00000000
2023,4,10,9,25,28265.95000000
2023,4,10,9,26,28265.96000000
